date,artist,song,pos,pos_prev,pos_peak,weeks
1991-01-19,Maxi Priest,Close To You,95,77,1,30
1991-01-26,James Ingram,I Don't Have The Heart,99,91,1,26
1991-03-09,Mariah Carey,Love Takes Time,90,84,1,26
1991-04-20,Surface,The First Time,100,88,1,25
1991-05-04,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),97,82,1,25
1991-06-08,Timmy T.,One More Try,97,86,1,25
1991-08-31,Extreme,More Than Words,88,70,1,24
1991-03-09,Stevie B,Because I Love You (The Postman Song),93,83,1,23
1991-05-25,Whitney Houston,All The Man That I Need,100,92,1,23
1991-07-27,Hi-Five,I Like The Way (The Kissing Game),91,67,1,23
1991-09-14,EMF,Unbelievable,94,81,1,23
1991-04-13,Janet Jackson,Love Will Never Do (Without You),100,89,1,22
1991-11-23,Bryan Adams,(Everything I Do) I Do It For You,75,64,1,22
1991-01-26,Vanilla Ice,Ice Ice Baby,91,77,1,21
1991-07-13,Amy Grant,Baby Baby,93,70,1,21
1991-11-30,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,27,67,1,20
1991-12-07,Color Me Badd,I Adore Mi Amor,41,36,1,20
1991-12-28,Karyn White,Romantic,29,29,1,20
1991-02-23,Whitney Houston,I'm Your Baby Tonight,92,79,1,19
1991-05-25,Mariah Carey,Someday,83,74,1,19
1991-06-01,Gloria Estefan,Coming Out Of The Dark,96,80,1,19
1991-06-15,Londonbeat,I've Been Thinking About You,90,67,1,19
1991-06-15,Wilson Phillips,You're In Love,92,72,1,19
1991-07-06,Roxette,Joyride,89,59,1,19
1991-08-10,Mariah Carey,I Don't Wanna Cry,95,74,1,19
1991-09-14,Paula Abdul,Rush Rush,100,82,1,19
1991-12-28,Mariah Carey,Emotions,37,37,1,18
1991-03-02,Madonna,Justify My Love,86,68,1,16
1991-11-02,Paula Abdul,The Promise Of A New Day,96,66,1,16
1991-12-28,Prince And The N.P.G.,Cream,14,14,1,14
1991-12-28,Michael Bolton,When A Man Loves A Woman,5,5,1,12
1991-12-28,P.M. Dawn,Set Adrift On Memory Bliss,4,4,1,11
1991-12-28,Michael Jackson,Black Or White,1,1,1,6
1991-03-30,Bette Midler,From A Distance,98,76,2,26
1991-09-28,Jesus Jones,"Right Here, Right Now",98,83,2,25
1991-02-09,Alias,More Than Words Can Say,94,77,2,23
1991-09-07,Color Me Badd,"I Wanna Sex You Up (From ""New Jack City"")",99,85,2,23
1991-12-28,Natural Selection,Do Anything,27,27,2,21
1991-07-13,Cathy Dennis,Touch Me (All Night Long),85,72,2,20
1991-10-12,Lenny Kravitz,It Ain't Over 'til It's Over,91,71,2,19
1991-10-19,Amy Grant,Every Heartbeat,96,70,2,19
1991-01-26,M.C. Hammer,Pray,98,81,2,18
1991-10-12,Roxette,Fading Like A Flower (Every Time You Leave),84,61,2,18
1991-09-21,Rhythm Syndicate,P.A.S.S.I.O.N.,82,58,2,17
1991-12-28,Bryan Adams,Can't Stop This Thing We Started,21,21,2,16
1991-12-28,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,2,2,2,15
1991-04-06,Damn Yankees,High Enough,94,68,3,29
1991-11-23,Boyz II Men,Motownphilly,79,62,3,24
1991-05-11,Styx,Show Me The Way,94,82,3,23
1991-05-25,Tracie Spencer,This House,93,79,3,23
1991-06-15,Tara Kemp,Hold You Tight,94,69,3,22
1991-07-13,C+C Music Factory/F. Williams,Here We Go,84,67,3,20
1991-12-28,Color Me Badd,All 4 Love,3,3,3,8
1991-11-16,Scorpions,Wind Of Change,86,67,4,25
1991-05-18,Celine Dion,Where Does My Heart Beat Now,87,79,4,24
1991-02-16,Deee-Lite,Groove Is In The Heart,100,85,4,23
1991-01-12,Pebbles,Giving You The Benefit,94,87,4,22
1991-02-23,Poison,Something To Believe In,95,81,4,21
1991-08-24,R.E.M.,Losing My Religion,99,81,4,21
1991-02-23,Wilson Phillips,Impulsive,88,66,4,20
1991-03-16,Ralph Tresvant,Sensitivity,94,63,4,20
1991-12-14,Extreme,Hole Hearted,27,24,4,20
1991-12-28,Jesus Jones,Real Real Real,84,84,4,19
1991-07-06,Divinyls,I Touch Myself,94,70,4,18
1991-08-24,Luther Vandross,Power Of Love/Love Power,92,72,4,18
1991-10-12,D.J. Jazzy Jeff & The Fresh Prince,Summertime,97,77,4,18
1991-03-30,Vanilla Ice,Play That Funky Music,100,78,4,17
1991-08-10,Michael Bolton,Love Is A Wonderful Thing,98,85,4,17
1991-11-02,C+C Music Factory,Things That Make You Go Hmmmm. . .,100,68,4,16
1991-05-18,Oleta Adams,Get Here,100,84,5,23
1991-11-23,Firehouse,Love Of A Lifetime,51,39,5,22
1991-02-23,DNA Featuring Suzanne Vega,Tom's Diner,100,76,5,21
1991-11-30,Bonnie Raitt,Something To Talk About,32,49,5,20
1991-10-26,The KLF,3 A.M. Eternal,83,71,5,19
1991-06-08,Enigma,Sadeness Part 1,99,81,5,18
1991-07-13,Rod Stewart,Rhythm Of My Heart,98,68,5,18
1991-04-27,Sting,All This Time,99,79,5,15
1991-01-12,After 7,Can't Stop,86,84,6,25
1991-03-02,UB40,The Way You Do The Things You Do,85,72,6,25
1991-05-11,Chris Isaak,Wicked Game,93,73,6,24
1991-03-30,Nelson,After The Rain,90,74,6,22
1991-09-21,Michael W. Smith,Place In This World,91,79,6,21
1991-10-05,Corina,Temptation,92,74,6,21
1991-12-28,Naughty By Nature,O.P.P.,15,15,6,17
1991-12-28,Roberta Flack With Maxi Priest,Set The Night To Music,23,23,6,15
1991-12-28,Paula Abdul,Blowing Kisses In The Wind,7,7,6,11
1991-12-28,Mariah Carey,Can't Let Go,6,6,6,7
1991-09-07,UB40,Here I Am (Come And Take Me),94,78,7,25
1991-04-13,Keith Sweat,I'll Give All My Love To You,92,76,7,20
1991-06-29,Rick Astley,Cry For Help,96,69,7,20
1991-10-26,Seal,Crazy,91,76,7,19
1991-03-16,Will To Power,I'm Not In Love,90,69,7,18
1991-06-01,Gerardo,Rico Suave,97,75,7,18
1991-09-07,Tara Kemp,Piece Of My Heart,98,68,7,18
1991-11-09,Michael Bolton,"Time, Love And Tenderness",100,72,7,18
1991-12-28,Amy Grant,That's What Love Is For,11,11,7,14
1991-11-09,The Escape Club,I'll Be There,90,71,8,25
1991-06-01,Tesla,Signs,94,64,8,22
1991-11-09,Hi-Five,I Can't Wait Another Minute,98,75,8,21
1991-04-06,INXS,Disappear,97,81,8,20
1991-11-16,Cathy Dennis,Too Many Walls,93,76,8,20
1991-11-30,Aaron Neville,Everybody Plays The Fool,58,64,8,20
1991-08-03,Black Box,Strike It Up,98,72,8,18
1991-02-09,George Michael,Freedom,96,67,8,16
1991-08-17,Crystal Waters,Gypsy Woman (She's Homeless),97,69,8,16
1991-12-28,CeCe Peniston,Finally,8,8,8,14
1991-02-16,Tony Toni Tone,Feels Good,98,88,9,25
1991-02-02,Candyman,Knockin' Boots,99,90,9,23
1991-05-04,LL Cool J,Around The Way Girl,92,77,9,23
1991-06-15,Another Bad Creation,Iesha,98,80,9,23
1991-03-23,Cathy Dennis,Just Another Dream,99,74,9,22
1991-12-14,Luther Vandross,Don't Want To Be A Fool,58,44,9,20
1991-07-13,Queensryche,Silent Lucidity,91,69,9,17
1991-12-28,Curtis Stigers,I Wonder Why,46,46,9,17
1991-07-13,Whitney Houston,Miracle,99,82,9,14
1991-04-20,Madonna,Rescue Me,90,59,9,8
1991-12-28,M.C. Hammer,2 Legit 2 Quit,9,9,9,8
1991-12-14,Chesney Hawkes,The One And Only,51,29,10,20
1991-01-12,Warrant,Cherry Pie,89,80,10,19
1991-04-06,Warrant,I Saw Red,96,67,10,19
1991-08-17,Another Bad Creation,Playground,100,71,10,17
1991-10-26,Rod Stewart,The Motown Song,84,68,10,17
1991-11-02,R.E.M.,Shiny Happy People,77,56,10,15
1991-11-16,Martika,Love. . .Thy Will Be Done,97,66,10,15
1991-12-28,Guns N' Roses,Don't Cry,18,18,10,15
1991-12-28,Marky Mark & The Funky Bunch,Wildside,10,10,10,8
1991-11-23,Heavy D & The Boyz,Now That We Found Love,86,70,11,22
1991-08-24,Lisa Fischer,How Can I Ease The Pain,96,82,11,20
1991-02-02,Daryl Hall John Oates,So Close,91,87,11,19
1991-06-29,Voices That Care,Voices That Care,82,56,11,16
1991-08-31,David A. Stewart Introducing Candy Dulfer,Lily Was Here,92,81,11,16
1991-07-20,Huey Lewis & The News,Couple Days Off,96,65,11,13
1991-06-22,Tevin Campbell,Round And Round,92,81,12,29
1991-03-09,Winger,Miles Away,96,74,12,22
1991-02-09,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",92,80,12,16
1991-05-11,Stevie B,I'll Be By Your Side,95,78,12,15
1991-08-31,Wilson Phillips,The Dream Is Still Alive,87,62,12,14
1991-12-28,Nia Peeples,Street Of Dreams,33,33,12,12
1991-12-28,Richard Marx,Keep Coming Back,12,12,12,9
1991-08-31,Marc Cohn,Walking In Memphis,99,90,13,23
1991-02-16,Heart,Stranded,89,73,13,22
1991-04-06,Pebbles,Love Makes Things Happen,95,82,13,19
1991-12-28,Salt-N-Pepa,Let's Talk About Sex,16,16,13,19
1991-05-11,Alias,Waiting For Love,97,90,13,17
1991-12-07,Rhythm Syndicate,Hey Donna,100,90,13,14
1991-12-28,Genesis,No Son Of Mine,13,13,13,9
1991-11-30,Tony Terry,With You,25,19,14,23
1991-01-12,Soho,Hippychick,84,78,14,19
1991-06-15,The Rembrandts,"Just The Way It Is, Baby",95,83,14,19
1991-06-29,Nelson,More Than Ever,91,76,14,17
1991-11-02,Natalie Cole,Unforgettable,88,78,14,17
1991-06-29,The Triplets,You Don't Have To Go Home Tonight,97,73,14,16
1991-12-28,John Mellencamp,Get A Leg Up,79,79,14,13
1991-03-02,2 In A Room,Wiggle It,92,86,15,22
1991-06-22,Keedy,Save Some Love,96,77,15,15
1991-04-20,Bad Company,If You Needed Somebody,97,84,16,24
1991-12-28,Metallica,Enter Sandman,47,47,16,19
1991-07-06,The Rude Boys,Written All Over Your Face,97,76,16,18
1991-06-08,Robert Palmer,Mercy Mercy Me (The Ecology)/I Want You,95,80,16,17
1991-07-13,Gerardo,We Want The Funk,94,55,16,11
1991-08-17,Surface,Never Gonna Let You Down,98,74,17,17
1991-07-27,LL Cool J,Mama Said Knock You Out,96,74,17,16
1991-09-21,Cher,Love And Understanding,93,83,17,15
1991-12-28,Nirvana,Smells Like Teen Spirit,17,17,17,4
1991-12-28,Vanessa Williams,Running Back To You,43,43,18,21
1991-02-09,Steve Winwood,One And Only Man,99,84,18,15
1991-08-17,Londonbeat,A Better Love,94,67,18,15
1991-12-28,EMF,Lies,99,99,18,14
1991-03-23,After 7,Heat Of The Moment,96,78,19,30
1991-03-23,The Righteous Brothers,Unchained Melody,89,85,19,25
1991-08-10,Firehouse,Don't Treat Me Bad,97,88,19,23
1991-01-05,Concrete Blonde,Joey,100,83,19,21
1991-07-06,Sheena Easton,What Comes Naturally,83,66,19,15
1991-12-28,George Michael/Elton John,Don't Let The Sun Go Down On Me,19,19,19,4
1991-05-04,Father M.C.,I'll Do 4 U,93,89,20,17
1991-12-28,D.J. Jazzy Jeff & The Fresh Prince,Ring My Bell,52,52,20,12
1991-05-18,Whitney Houston,The Star Spangled Banner,98,87,20,11
1991-09-28,Whitney Houston,My Name Is Not Susan,95,56,20,10
1991-12-28,M.C. Hammer,Addams Groove,20,20,20,4
1991-09-14,Salt-N-Pepa,Do You Want Me,99,87,21,26
1991-03-02,The Outfield,For You,94,78,21,18
1991-04-13,Urban Dance Squad,Deeper Shade Of Soul,96,79,21,18
1991-01-26,Donny Osmond,My Love Is A Fire,100,94,21,16
1991-11-16,Prince And The N.P.G.,Gett Off,81,63,21,14
1991-10-12,Huey Lewis & The News,It Hit Me Like A Hammer,98,73,21,13
1991-12-28,Gloria Estefan,Live For Loving You,22,22,22,12
1991-09-14,Steelheart,I'll Never Let You Go,98,89,23,27
1991-03-23,AC/DC,Moneytalks,98,68,23,16
1991-03-09,Black Box,I Don't Know Anybody Else,92,70,23,14
1991-12-28,Simply Red,Something Got Me Started,94,94,23,14
1991-02-02,Phil Collins,Hang In Long Enough,97,70,23,13
1991-11-09,Siouxsie & The Banshees,Kiss Them For Me,83,54,23,13
1991-08-31,After 7,"Nights Like This (From ""The Five Heartbeats"")",84,63,24,15
1991-11-02,Bob Seger & The Silver Bullet Band,The Real Love,84,67,24,11
1991-12-28,Rod Stewart,Broken Arrow,24,24,24,11
1991-07-20,Styx,Love At First Sight,97,78,25,16
1991-05-18,Bingo Boys Featuring Princessa,How To Dance,99,82,25,14
1991-06-22,Riff,My Heart Is Failing Me,99,71,25,14
1991-10-05,Robbie Nevil,Just Like You,95,83,25,14
1991-12-28,Jodeci,Forever My Lady,28,28,25,10
1992-10-17,Sir Mix-A-Lot,Baby Got Back,41,32,1,28
1992-08-01,Vanessa Williams,Save The Best For Last,47,43,1,27
1992-12-26,Boyz II Men,"End Of The Road (From ""Boomerang"")",21,17,1,24
1992-08-22,Kris Kross,Jump,46,42,1,21
1992-10-10,Mariah Carey,I'll Be There,90,75,1,20
1992-11-14,Madonna,This Used To Be My Playground,88,73,1,20
1992-12-26,The Heights,How Do You Talk To An Angel,9,6,1,13
1992-12-26,Whitney Houston,I Will Always Love You,1,1,1,7
1992-07-11,Queen,Bohemian Rhapsody,47,43,2,41
1992-10-10,En Vogue,My Lovin' (You're Never Gonna Get It),46,49,2,30
1992-12-26,TLC,Baby-Baby-Baby,44,42,2,30
1992-08-01,Eric Clapton,Tears In Heaven,46,44,2,26
1992-09-26,Red Hot Chili Peppers,Under The Bridge,44,36,2,26
1992-12-26,Patty Smyth,Sometimes Love Just Ain't Enough,30,24,2,20
1992-12-26,Wreckx-N-Effect,Rump Shaker,2,3,2,13
1992-12-26,Shai,If I Ever Fall In Love,3,2,2,11
1992-12-26,House Of Pain,Jump Around,32,28,3,27
1992-06-06,Michael Jackson,Remember The Time,52,49,3,20
1992-06-13,Atlantic Starr,Masterpiece,42,39,3,20
1992-11-07,Guns N' Roses,November Rain,40,35,3,20
1992-12-19,Bobby Brown,Humpin' Around,44,43,3,20
1992-12-26,P.M. Dawn,"I'd Die Without You (From ""Boomerang"")",5,5,3,16
1992-12-26,Madonna,Erotica,59,48,3,11
1992-10-10,Queen,We Are The Champions,99,90,4,41
1992-10-24,Billy Ray Cyrus,Achy Breaky Heart,44,35,4,25
1992-09-19,Celine Dion,If You Asked Me To,49,40,4,22
1992-08-01,Joe Public,Live And Learn,43,37,4,21
1992-11-14,Shakespear's Sister,Stay,61,48,4,20
1992-12-26,Boyz II Men,"In The Still Of The Nite (From ""The Jacksons"")",4,4,4,5
1992-12-26,Jon Secada,Just Another Day,48,45,5,37
1992-09-05,Sophie B. Hawkins,Damn I Wish I Was Your Lover,48,45,5,21
1992-07-04,Mariah Carey,Make It Happen,55,50,5,20
1992-12-12,Hi-Five,She's Playing Hard To Get,47,45,5,20
1992-11-07,Tom Cochrane,Life Is A Highway,49,46,6,26
1992-12-12,K.W.S.,Please Don't Go,50,50,6,26
1992-06-13,Mint Condition,Breakin' My Heart (Pretty Brown Eyes),47,42,6,24
1992-11-14,En Vogue,Giving Him Something He Can Feel,45,42,6,24
1992-11-14,Technotronic Featuring Ya Kid K,Move This,49,43,6,23
1992-07-18,TLC,Ain't 2 Proud 2 Beg,48,39,6,22
1992-09-05,Arrested Development,Tennessee,49,46,6,22
1992-09-05,Michael Jackson,In The Closet,100,90,6,20
1992-12-26,Snap!,Rhythm Is A Dancer,6,7,6,20
1992-06-13,Genesis,I Can't Dance,54,46,7,20
1992-12-26,Mary J. Blige,Real Love,10,9,7,18
1992-12-26,TLC,What About Your Friends,11,10,7,17
1992-12-26,Bobby Brown,Good Enough,7,8,7,11
1992-05-30,Amy Grant,Good For Me,50,48,8,20
1992-12-26,Arrested Development,People Everyday,36,34,8,20
1992-12-26,Firehouse,When I Look Into Your Eyes,71,66,8,20
1992-12-26,En Vogue,Free Your Mind,40,33,8,16
1992-12-26,Shanice,"Saving Forever For You (From ""Beverly Hills, 90210"")",8,12,8,10
1992-11-21,Elton John,The One,46,42,9,22
1992-05-30,Celine Dion And Peabo Bryson,Beauty And The Beast,47,38,9,20
1992-06-27,Richard Marx,Hazard,48,36,9,20
1992-08-15,Ugly Kid Joe,Everything About You,96,76,9,20
1992-10-10,The Cover Girls,Wishing On A Star,77,70,9,20
1992-07-25,U2,One,54,51,10,20
1992-10-10,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,The Best Things In Life Are Free,41,43,10,20
1992-10-24,George Michael,Too Funky,93,85,10,20
1992-10-10,Jodeci,Come & Talk To Me,37,37,11,28
1992-12-12,Bryan Adams,Do I Have To Say The Words?,57,49,11,20
1992-05-30,The KLF Featuring Tammy Wynette,Justified And Ancient,95,79,11,18
1992-12-26,Michael Bolton,To Love Somebody,12,11,11,11
1992-06-06,Michael Bolton,Missing You Now,87,88,12,20
1992-09-12,Genesis,Hold On My Heart,54,56,12,20
1992-12-26,Def Leppard,Have You Ever Needed Someone So Bad,51,50,12,19
1992-12-26,Saigon Kick,Love Is On The Way,14,15,12,17
1992-12-26,Eric Clapton,Layla,16,14,12,13
1992-07-25,Bryan Adams,Thought I'd Died And Gone To Heaven,55,55,13,20
1992-10-17,Kris Kross,Warm It Up,67,64,13,20
1992-12-26,Charles & Eddie,Would I Lie To You?,27,25,13,19
1992-12-26,Jon Secada,Do You Believe In Us,15,13,13,14
1992-12-26,Madonna,Deeper And Deeper,13,16,13,4
1992-07-04,Kathy Troccoli,Everything Changes,74,61,14,20
1992-12-26,Annie Lennox,Walking On Broken Glass,20,19,14,17
1992-12-12,Toad The Wet Sprocket,All I Want,46,44,15,25
1992-10-10,CeCe Peniston,Keep On Walkin',43,41,15,21
1992-08-08,Def Leppard,Let's Get Rocked,93,85,15,18
1992-12-26,Color Me Badd,"Forever Love (From ""Mo' Money"")",64,61,15,14
1992-11-28,Jade,"I Wanna Love You (From ""Class Act"")",49,42,16,21
1992-06-13,Color Me Badd,Thinkin' Back,95,83,16,20
1992-08-22,Mr. Big,Just Take My Heart,66,58,16,20
1992-07-04,Bruce Springsteen,Human Touch/Better Days,91,87,16,16
1992-04-18,Paula Abdul,Vibeology,92,85,16,14
1992-05-16,NKOTB,If You Go Away,94,78,16,13
1992-12-26,Spin Doctors,Little Miss Can't Be Wrong,17,18,17,11
1992-09-19,Color Me Badd,Slow Motion,78,72,18,20
1992-10-24,The Cure,Friday I'm In Love,81,69,18,20
1992-12-26,Restless Heart,When She Cries,18,21,18,7
1992-06-27,Jody Watley,I'm The One You Need,89,72,19,17
1992-06-27,Paula Abdul,Will You Marry Me?,96,70,19,13
1992-12-26,Trey Lorenz,Someone To Hold,47,39,19,13
1992-12-26,Go West,Faithful,19,22,19,8
1992-06-13,CeCe Peniston,We Got A Love Thang,79,67,20,20
1992-09-05,Amy Grant,I Will Remember You,64,56,20,20
1992-10-24,Richard Marx,Take This Heart,58,58,20,20
1992-08-22,Wilson Phillips,You Won't See Me Cry,99,84,20,16
1992-12-26,Damn Yankees,Where You Goin' Now,23,20,20,12
1992-09-12,Lionel Richie,Do It To Me,97,88,21,20
1992-05-16,M.C. Brains,Oochie Coochie,98,71,21,18
1992-05-02,Paul Young,What Becomes Of The Brokenhearted,88,74,22,14
1992-12-26,Mad Cobra,Flex,22,26,22,11
1992-12-26,N2Deep,Back To The Hotel,24,27,23,25
1992-12-12,Genesis,Jesus He Knows Me,89,81,23,20
1992-06-20,Prince And The N.P.G.,Money Don't Matter 2 Night,90,67,23,13
1992-12-26,Elton John,The Last Song,26,23,23,9
1992-09-19,Das EFX,They Want EFX,66,59,25,20
1992-12-26,Genesis,Never A Time,25,31,25,8
1992-07-11,Lidell Townsell,Nu Nu,49,47,26,20
1992-09-26,Vanessa Williams,Just For Tonight,93,85,26,19
1992-05-16,RTZ,Until Your Love Comes Back Around,95,86,26,18
1992-10-10,Michael Jackson,Jam,96,87,26,14
1992-12-26,Michael W. Smith,I Will Be Here For You,63,55,27,15
1992-05-09,Stacy Earl (Featuring The Wild Pair),Romeo & Juliet,81,60,27,12
1992-06-06,Ozzy Osbourne,"Mama, I'm Coming Home",94,93,28,17
1992-11-28,INXS,Not Enough Time,93,86,28,15
1992-09-12,The B-52s,Good Stuff,96,80,28,13
1992-04-04,P.M. Dawn,Paper Doll,94,70,28,12
1992-12-26,R.E.M.,Drive,28,29,28,9
1992-12-26,Expose,I Wish The Phone Would Ring,33,32,28,9
1992-10-31,Mary J. Blige,"You Remind Me (From ""Strictly Business"")",72,64,29,20
1992-12-12,Celine Dion,Nothing Broken But My Heart,96,87,29,20
1992-07-11,Chris Walker,Take Time,90,89,29,18
1992-11-07,Babyface (Featuring Toni Braxton),"Give U My Heart (From ""Boomerang"")",97,91,29,16
1992-12-26,Bon Jovi,Keep The Faith,37,30,29,10
1992-12-26,Prince And The New Power Generation,7,29,38,29,5
1992-12-05,Del Amitri,Always The Last To Know,92,82,30,17
1992-08-01,Linear,T.L.C.,93,85,30,13
1992-10-17,Wilson Phillips,Give It Up,99,82,30,11
1992-12-26,Bell Biv DeVoe,Gangsta,41,36,30,7
1992-08-15,Shanice,Silent Prayer,92,85,31,17
1992-12-26,Portrait,Here We Go Again!,31,37,31,7
1992-07-18,Nirvana,Come As You Are,94,93,32,18
1992-07-18,Howard Jones,Lift Me Up,96,78,32,15
1992-10-17,U2,Even Better Than The Real Thing,96,89,32,15
1992-11-28,Cathy Dennis,You Lied To Me,97,85,32,13
1992-09-26,Annie Lennox,Why,95,98,34,20
1992-08-08,Bonnie Raitt,Not The Only One,99,99,34,17
1992-07-04,Metallica,Nothing Else Matters,97,88,34,15
1992-12-26,Toad The Wet Sprocket,Walk On The Ocean,34,40,34,7
1992-11-21,Peter Cetera,Restless Heart,51,48,35,20
1992-11-21,The Soup Dragons,Divine Thing,96,93,35,16
1992-07-04,"""Weird Al"" Yankovic",Smells Like Nirvana,85,75,35,11
1992-12-26,U2,Who's Gonna Ride Your Wild Horses,35,35,35,8
1992-04-25,John Mellencamp,Again Tonight,97,83,36,13
1992-05-09,Roxette,Church Of Your Heart,95,77,36,11
1992-12-19,Prince And The New Power Generation,My Name Is Prince,97,97,36,11
1992-08-29,Def Leppard,Make Love Like A Man,91,81,36,10
1992-06-27,Gerald Levert (Duet With Eddie Levert),Baby Hold On To Me,91,93,37,20
1992-11-07,Rozalla,Everybody's Free (To Feel Good),93,86,37,20
1992-05-09,The Smithereens,Too Much Passion,84,67,37,14
1992-07-11,Cause And Effect,You Think You Know Her,94,98,38,20
1992-12-19,k.d. lang,Constant Craving,91,0,38,19
1992-12-05,Bad Company,How About That,94,80,38,13
1992-12-26,En Vogue,"Give It Up, Turn It Loose",38,47,38,4
1992-09-26,R. Kelly & Public Announcement,Honey Love,97,80,39,19
1992-12-26,Lo-Key?,I Got A Thang 4 Ya!,39,46,39,7
1992-10-17,Shabba Ranks,"Mr. Loverman (From ""Deep Cover"")",100,92,40,19
1992-05-02,Jodeci,Stay,89,79,41,18
1992-12-26,Shabba Ranks (Featuring Johnny Gill),Slow And Sexy,45,41,41,10
1992-12-05,EPMD,Crossover,91,74,42,20
1992-06-06,The Williams Brothers,Can't Cry Hard Enough,99,99,42,18
1992-06-20,The Cure,High,88,56,42,12
1992-12-26,Peabo Bryson & Regina Belle,A Whole New World (Aladdin's Theme),42,54,42,2
1992-12-26,R. Kelly & Public Announcement,Slow Dance (Hey Mr. DJ),95,76,43,19
1992-07-25,The Outfield,Closer To Me,95,66,43,11
1992-12-26,The S.O.U.L. S.Y.S.T.E.M.,It's Gonna Be A Lovely Day,43,43,43,5
1992-08-01,TKA,Maria,90,79,44,18
1992-09-05,Nice & Smooth,Sometimes I Rhyme Slow,93,82,44,18
1992-05-02,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,90,84,44,17
1992-08-01,Keith Sweat,Why Me Baby?,96,84,44,17
1992-06-27,Aaron Hall,Don't Be Afraid,90,85,44,16
1992-04-25,Simply Red,Stars,96,82,44,14
1992-12-26,Richard Marx,Chains Around My Heart,77,64,44,10
1992-11-07,After 7,Kickin' It,100,76,45,13
1992-11-28,Swing Out Sister,Am I The Same Girl,95,82,45,12
1992-12-26,Toni Braxton,"Love Shoulda Brought You Home (From ""Boomerang"")",46,49,46,7
1992-06-06,Giggles,What Goes Around Comes Around,71,66,47,20
1992-06-13,Salt-N-Pepa,You Showed Me,100,88,47,20
1992-12-26,Al B. Sure!,Right Now,78,60,47,18
1992-07-04,Tracie Spencer,Love Me,83,72,48,15
1992-10-10,A.L.T. And The Lost Civilization,Tequila,93,83,48,14
1992-06-20,Rod Stewart,Your Song,92,72,48,9
1992-08-08,The Black Crowes,Remedy,90,70,48,9
1992-08-15,Boyz II Men,Please Don't Go,89,81,49,20
1992-10-24,2 Unlimited,Twilight Zone,89,82,49,20
1992-11-28,Marky Mark & The Funky Bunch,You Gotta Believe,92,73,49,10
1992-06-27,Mitch Malloy,Anything At All,84,62,49,9
1992-12-26,Sade,No Ordinary Love,49,51,49,8
1992-10-31,Brooks & Dunn,Boot Scootin' Boogie,84,69,50,15
1992-07-04,Colourhaus,Innocent Child,95,78,50,10
1992-12-26,Celine Dion,Love Can Move Mountains,50,52,50,6
1992-07-04,Redhead Kingpin & The F.B.I.,3-2-1 Pump,84,74,52,15
1992-12-05,Vanessa Williams,Work To Do,90,83,52,11
1992-12-12,Peter Gabriel,Digging In The Dirt,100,76,52,11
1992-08-15,Stacy Earl,Slowly,85,65,52,9
1992-12-26,Dan Baird,I Love You Period,52,59,52,4
1992-06-20,Naughty By Nature,Everything's Gonna Be Alright,83,76,53,20
1992-12-19,The Movement,Jump!,81,73,53,20
1992-08-15,Brotherhood Creed,Helluva,95,83,53,18
1993-11-27,UB40,"Can't Help Falling In Love (From ""Sliver"")",49,45,1,29
1993-10-16,SWV,Weak,46,46,1,26
1993-06-26,Snow,Informer,52,41,1,25
1993-07-31,Silk,Freak Me,47,34,1,24
1993-10-02,Janet Jackson,That's The Way Love Goes,47,42,1,23
1993-12-25,Mariah Carey,Dreamlover,26,19,1,21
1993-12-25,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),4,4,1,15
1993-12-25,Mariah Carey,Hero,1,3,1,10
1993-12-25,Janet Jackson,Again,2,1,1,10
1993-12-25,Tag Team,Whoomp! (There It Is),13,14,2,31
1993-07-31,Dr. Dre,"Nuthin' But A ""G"" Thang",44,40,2,27
1993-12-11,SWV,Right Here (Human Nature)/Downtown,50,39,2,22
1993-12-25,Ace Of Base,All That She Wants,3,2,2,15
1993-12-25,Xscape,Just Kickin' It,14,11,2,15
1993-07-31,Vanessa Williams/Brian McKnight,"Love Is (From ""Beverly Hills, 90210"")",43,36,3,28
1993-09-25,H-Town,Knockin' Da Boots,46,42,3,25
1993-06-05,Duran Duran,Ordinary World,49,43,3,22
1993-12-25,Billy Joel,The River Of Dreams,38,32,3,22
1993-10-23,The Proclaimers,I'm Gonna Be (500 Miles),49,42,3,20
1993-11-20,Jodeci,Lately,50,37,4,24
1993-06-12,Whitney Houston,"I'm Every Woman (From ""The Bodyguard"")",45,44,4,23
1993-12-25,Janet Jackson,If,43,40,4,23
1993-07-10,Whitney Houston,I Have Nothing,53,51,4,20
1993-10-09,Onyx,Slam,62,60,4,20
1993-12-25,Salt-N-Pepa,Shoop,7,5,4,12
1993-12-25,DRS,Gangsta Lean,6,6,4,11
1993-10-09,Robin S.,Show Me Love,43,43,5,28
1993-12-04,Soul Asylum,Runaway Train,49,41,5,26
1993-09-18,Rod Stewart,Have I Told You Lately,45,42,5,22
1993-12-25,Bryan Adams/Rod Stewart/Sting,All For Love,5,7,5,5
1993-08-07,SWV,I'm So Into You,46,42,6,27
